source,target,weight,type,group
8,proxy_2,2,routing,2
52,proxy_3,2,routing,3
8,proxy_2,2,routing,2
60,proxy_3,2,routing,3
8,proxy_2,4,routing,2
61,proxy_3,4,routing,3
8,proxy_2,11,routing,2
65,proxy_7,11,routing,7
8,proxy_2,1,routing,2
72,proxy_7,1,routing,7
8,proxy_2,1,routing,2
74,proxy_5,1,routing,5
8,proxy_2,3,routing,2
114,proxy_3,3,routing,3
8,proxy_2,4,routing,2
115,proxy_3,4,routing,3
9,proxy_1,12,routing,1
10,proxy_8,12,routing,8
9,proxy_1,7,routing,1
13,proxy_3,7,routing,3
9,proxy_1,5,routing,1
14,proxy_4,5,routing,4
9,proxy_1,1,routing,1
18,proxy_3,1,routing,3
9,proxy_1,3,routing,1
20,proxy_0,3,routing,0
9,proxy_1,12,routing,1
21,proxy_4,12,routing,4
9,proxy_1,12,routing,1
22,proxy_6,12,routing,6
9,proxy_1,1,routing,1
34,proxy_3,1,routing,3
9,proxy_1,15,routing,1
35,proxy_3,15,routing,3
9,proxy_1,13,routing,1
38,proxy_6,13,routing,6
9,proxy_1,2,routing,1
39,proxy_4,2,routing,4
9,proxy_1,2,routing,1
41,proxy_8,2,routing,8
9,proxy_1,4,routing,1
42,proxy_6,4,routing,6
9,proxy_1,5,routing,1
46,proxy_4,5,routing,4
9,proxy_1,3,routing,1
47,proxy_4,3,routing,4
9,proxy_1,15,routing,1
52,proxy_3,15,routing,3
9,proxy_1,14,routing,1
53,proxy_4,14,routing,4
9,proxy_1,2,routing,1
60,proxy_3,2,routing,3
9,proxy_1,1,routing,1
61,proxy_3,1,routing,3
9,proxy_1,2,routing,1
65,proxy_7,2,routing,7
9,proxy_1,2,routing,1
73,proxy_5,2,routing,5
9,proxy_1,5,routing,1
74,proxy_5,5,routing,5
9,proxy_1,9,routing,1
84,proxy_2,9,routing,2
9,proxy_1,5,routing,1
85,proxy_6,5,routing,6
9,proxy_1,8,routing,1
89,proxy_5,8,routing,5
9,proxy_1,1,routing,1
96,proxy_7,1,routing,7
9,proxy_1,3,routing,1
97,proxy_2,3,routing,2
9,proxy_1,2,routing,1
102,proxy_8,2,routing,8
9,proxy_1,9,routing,1
115,proxy_3,9,routing,3
9,proxy_1,6,routing,1
116,proxy_2,6,routing,2
9,proxy_1,5,routing,1
117,proxy_6,5,routing,6
9,proxy_1,3,routing,1
122,proxy_5,3,routing,5
10,proxy_8,1,routing,8
13,proxy_3,1,routing,3
