Origin Region,Eastern and South-Eastern Asia,EUROPE,Central and Southern Asia,Latin America and the Caribbean,NORTHERN AMERICA,Oceania (excluding Australia and New Zealand),Sub-Saharan Africa
EUROPE,4731667,10337792,3002676,45201439,6120347,1138619,273337
NORTHERN AMERICA,2133875,6707897,11719927,6567672,27391708,1213014,61860
Central and Southern Asia,9310,13222390,2745896,2247003,20153,83453,2736
Latin America and the Caribbean,49825,45620,311493,1159481,14032392,1298131,8417
Oceania (excluding Australia and New Zealand),54,6183,84946,76397,5292,28195,93311
Sub-Saharan Africa,19564204,146968,73516,386464,25119,25780,9119
Eastern and South-Eastern Asia,51006,2122924,18020956,427665,303158,347206,75984
